YEAR,ID,ARCHITECTURE,TECHNOLOGY,VENUE,ENOB,FS_HZ,P_W,P_W_PRED,AREA_MM2,AREA_UM2_PRED,FOMW_DERIVED_FJ,FOMA_DERIVED_UM2
2006,12.8,Pipe,0.18,ISSCC,10.837209302325581,40000000.0,0.268,0.0014635752486633605,3.6,365893.8121658401,3662.264721199083,78.71136117203999
2006,31.1,Flash,0.09,ISSCC,3.6611295681063125,1250000000.0,0.0025199999999999997,0.00031626404896688726,0.033,80.96359653552315,159.36050956356678,3260.724712052148
2006,31.2,Two-Step,0.09,ISSCC,5.322259136212625,1000000000.0,0.055,0.0008001835893514377,0.13,320.07343574057506,1374.6845281987955,3249.254339378972
2006,31.3,Flash,0.18,ISSCC,3.362126245847176,4000000000.0,0.089,0.0008226040364037327,0.88,20.565100910093317,2163.860036211126,342327.5203354232
2006,31.4,Flash,0.13 BiCMOS,ISSCC,3.0299003322259135,22000000000.0,3.0,0.003593714404178419,2.4,2.9700119042796853,16695.81754472138,6464620.553316119
2006,31.5,"SAR, TI",0.13,ISSCC,5.18936877076412,600000000.0,0.0053,0.00043786164528384177,0.12,486.51293920426866,242.08560201998506,1973.2260391062935
2006,31.6,"Pipe, TI",0.13,ISSCC,8.345514950166114,1000000000.0,0.25,0.006505494663143541,3.5,2602.197865257416,768.5810624558924,10760.134874382493
2007,13.5,SAR,0.09,ISSCC,7.400000000000001,20000000.0,0.00029,6.755880503157224e-05,0.08,67558.80503157224,85.85113365000296,9.47322854068998
2007,25.1,Pipe,0.09,ISSCC,8.245847176079735,80000000.0,0.0065,0.0004856991263828285,0.6372,30356.19539892678,267.65541245288114,167.9261822178224
2007,25.2,Two-Step,0.09,ISSCC,9.1,160000000.0,0.084,0.0017559936410194623,0.42,27437.4006409291,956.7232823375468,122.460580139206
2007,25.3,Pipe,0.09,ISSCC,9.17607973421927,30000000.0,0.0047,0.00034707752591014486,0.32,154256.67818228662,270.83286292739024,16.595715855976252
2007,25.4,Pipe,0.09,ISSCC,8.843853820598008,205000000.0,0.061,0.0018838622085363811,1.0,17930.87170528382,647.6057508196674,446.15789636387746
2007,25.5,"Pipe, ZCBC",0.18,ISSCC,6.4,200000000.0,0.0085,0.000337794025157861,0.05,3377.94025157861,503.2652662241555,118.41535675862482
2007,25.6,Pipe,0.13,ISSCC,8.677740863787376,205000000.0,0.0925,0.0016789746976552226,0.52,15980.72288071598,1101.862942058402,260.31363105732174
2007,25.7,"Pipe, TI",0.09,ISSCC,8.677740863787376,800000000.0,0.35,0.006552096381093551,1.4,4095.0602381834697,1068.3603526039237,2735.002502666045
2008,12.1,SAR,0.09,ISSCC,8.561461794019934,40000000.0,0.00082,0.00030223641815358554,0.0902,75559.1045383964,54.26215708944154,9.55013964774171
2008,12.2,"SAR, TI",0.065,ISSCC,4.425249169435216,250000000.0,0.0012,0.00010742435199741366,3.0,687.5158527834474,223.41303022779994,34908.28597309374
