rram_preset,xbar_size,adc_choice,dac_num,xbar_polarity,sub_position,group_num,pe_num,tile_connection,inter_tile_bw,run_accuracy,enable_saf,enable_variation,enable_rratio,fixed_qrange,accuracy_target,latency_ns,energy_nj,area_um2,power_w,accuracy,run_id,trial_dir,algo,seed,eval_index,phase,elapsed_s,is_pareto,nn,dataset_module,weights_path,base_config_path,device,space_profile,dataset_signature
P3,128x128,6,32,2,1,1,2x2,2,80,1,1,1,0,0,0.88,4430024.989793121,9447367.799596138,3083014542.653233,428.90037651148873,0.78515625,run_20260409_213950,matrixcsv_seed42,matrixcsv,42,3,matrix_A,484.78695702552795,0,vgg8,MNSIM.Interface.cifar10,/Users/bytedance/workspace/MNSIM-2.0/cifar10_vgg8_params.pth,/Users/bytedance/workspace/MNSIM-2.0/SimConfig.ini,mps,rram_v2,0c8d25acb84e
P3,128x128,6,32,2,1,1,4x4,2,80,1,1,1,0,0,0.88,14995379.256951638,14234031.53552794,3018330807.1181145,433.3304938920804,0.759765625,run_20260409_213950,matrixcsv_seed42,matrixcsv,42,4,matrix_A,487.90866017341614,0,vgg8,MNSIM.Interface.cifar10,/Users/bytedance/workspace/MNSIM-2.0/cifar10_vgg8_params.pth,/Users/bytedance/workspace/MNSIM-2.0/SimConfig.ini,mps,rram_v2,0c8d25acb84e
P3,512x512,4,32,2,1,1,2x2,2,80,1,1,1,0,0,0.88,5997133.2533934815,3193060.1506895665,894254493.5562104,29.559223145690417,0.8701171875,run_20260409_213950,matrixcsv_seed42,matrixcsv,42,5,matrix_A,156.12586498260498,1,vgg8,MNSIM.Interface.cifar10,/Users/bytedance/workspace/MNSIM-2.0/cifar10_vgg8_params.pth,/Users/bytedance/workspace/MNSIM-2.0/SimConfig.ini,mps,rram_v2,0c8d25acb84e
P3,512x512,4,32,2,1,1,4x4,2,80,1,1,1,0,0,0.88,17346484.969408944,5309737.221154697,1078847382.6426022,31.531321697326867,0.849609375,run_20260409_213950,matrixcsv_seed42,matrixcsv,42,6,matrix_A,157.9990520477295,0,vgg8,MNSIM.Interface.cifar10,/Users/bytedance/workspace/MNSIM-2.0/cifar10_vgg8_params.pth,/Users/bytedance/workspace/MNSIM-2.0/SimConfig.ini,mps,rram_v2,0c8d25acb84e
P3,512x512,6,32,2,1,1,2x2,2,80,1,1,1,0,0,0.88,5997133.2533934815,3193060.1506895665,1006013853.5562103,29.559223145690417,0.8583984375,run_20260409_213950,matrixcsv_seed42,matrixcsv,42,7,matrix_A,162.66213989257812,0,vgg8,MNSIM.Interface.cifar10,/Users/bytedance/workspace/MNSIM-2.0/cifar10_vgg8_params.pth,/Users/bytedance/workspace/MNSIM-2.0/SimConfig.ini,mps,rram_v2,0c8d25acb84e
P3,512x512,6,32,2,1,1,4x4,2,80,1,1,1,0,0,0.88,17346484.969408944,5309737.221154697,1214711702.6426022,31.531321697326867,0.767578125,run_20260409_213950,matrixcsv_seed42,matrixcsv,42,8,matrix_A,160.18244791030884,0,vgg8,MNSIM.Interface.cifar10,/Users/bytedance/workspace/MNSIM-2.0/cifar10_vgg8_params.pth,/Users/bytedance/workspace/MNSIM-2.0/SimConfig.ini,mps,rram_v2,0c8d25acb84e
P1,128x128,6,32,2,0,1,2x2,2,80,1,1,1,0,0,0.88,4430024.989793121,17054874.0659343,3083014542.653233,838.9382624293112,0.9189453125,run_20260409_220350,matrixcsv_seed42,matrixcsv,42,1,matrix_B,497.0096061229706,0,vgg8,MNSIM.Interface.cifar10,/Users/bytedance/workspace/MNSIM-2.0/cifar10_vgg8_params.pth,/Users/bytedance/workspace/MNSIM-2.0/SimConfig.ini,mps,rram_v2,0c8d25acb84e
P1,128x128,6,32,2,1,1,2x2,2,80,1,1,1,0,0,0.88,4430024.989793121,9447367.799596138,3083014542.653233,428.90037651148873,0.9150390625,run_20260409_220350,matrixcsv_seed42,matrixcsv,42,2,matrix_B,496.9305830001831,1,vgg8,MNSIM.Interface.cifar10,/Users/bytedance/workspace/MNSIM-2.0/cifar10_vgg8_params.pth,/Users/bytedance/workspace/MNSIM-2.0/SimConfig.ini,mps,rram_v2,0c8d25acb84e
P1,128x128,6,128,2,0,1,2x2,2,80,1,1,1,0,0,0.88,3884383.145814948,5735710.703200261,3083612557.758293,845.1078199484215,0.916015625,run_20260409_220350,matrixcsv_seed42,matrixcsv,42,3,matrix_B,483.93303990364075,0,vgg8,MNSIM.Interface.cifar10,/Users/bytedance/workspace/MNSIM-2.0/cifar10_vgg8_params.pth,/Users/bytedance/workspace/MNSIM-2.0/SimConfig.ini,mps,rram_v2,0c8d25acb84e
P1,128x128,6,128,2,1,1,2x2,2,80,1,1,1,0,0,0.88,3884383.145814948,3787740.2723677782,3083612557.758293,432.8685861873989,0.91015625,run_20260409_220350,matrixcsv_seed42,matrixcsv,42,4,matrix_B,482.88261914253235,1,vgg8,MNSIM.Interface.cifar10,/Users/bytedance/workspace/MNSIM-2.0/cifar10_vgg8_params.pth,/Users/bytedance/workspace/MNSIM-2.0/SimConfig.ini,mps,rram_v2,0c8d25acb84e
