算法,随机种子,评估序号,阶段,延迟_ns,能耗_nJ,面积_um2,功耗_W,精度,单次耗时_s,是否帕累托点,交叉阵列尺寸,ADC档位,DAC档位,PE阵列规模,Tile连接方式,片间带宽,片内带宽,附加JSON
random,44,56,random,3394446.9293064657,708737.872341068,1118497624.9669137,24.27973050950817,,3.0221428871154785,1,256x256,8,2,2x2,1,80,1024,{}
random,44,57,random,12018174.146117168,1693195.326723247,1004185616.1338401,9.127847919206628,,2.3735690116882324,0,512x512,8,2,4x4,0,80,1024,{}
random,44,58,random,4507475.48298269,1035970.5633224761,1005108598.2285513,60.20395128678248,,2.114518165588379,0,512x512,6,3,2x2,2,80,512,{}
random,44,59,random,32217467.69466407,11148534.397241248,1509865337.586589,35.008845925597164,,3.3441481590270996,0,256x256,8,4,8x8,2,80,1024,{}
random,44,60,random,4763143.341135587,1920521.5611562848,1005056583.1245512,59.06970648678248,,1.96744966506958,0,512x512,6,1,2x2,2,80,512,{}
random,44,61,random,4964870.302367104,1329213.4080361456,893314561.4925516,59.44778808678249,,2.22910213470459,0,512x512,4,2,2x2,3,40,512,{}
random,44,62,random,16187301.92204522,2837962.093420527,1213611196.1658404,64.44947507120662,,2.051251173019409,0,512x512,6,3,4x4,2,40,1024,{}
random,44,63,random,18080216.934398234,3173273.222977087,1213569040.13384,63.63041267120662,,2.1367249488830566,0,512x512,6,2,4x4,3,20,512,{}
random,44,64,random,16173763.515013982,2837962.093420527,1213611196.1658404,64.44947507120662,,1.8871757984161377,0,512x512,6,3,4x4,1,40,512,{}
random,44,65,random,18243713.380198225,3849696.154141408,1213547962.1178398,63.220881471206624,,1.9471652507781982,0,512x512,6,1,4x4,3,20,1024,{}
random,44,66,random,22547291.33908568,4430544.468251009,1939575935.5369165,10.872590416941065,,3.3186590671539307,0,512x512,8,2,8x8,1,10,512,{}
random,44,67,random,4584426.083902258,446724.43596553215,832943199.7005515,10.112999718782488,,2.337865114212036,0,512x512,8,4,2x2,1,20,1024,{}
random,44,68,random,12338535.34728909,1693195.326723247,1004185616.1338401,9.127847919206628,,1.8315577507019043,0,512x512,8,2,4x4,1,40,2048,{}
random,44,69,random,29141902.96379213,7578538.385046603,2344793379.3769155,74.90488182494107,,2.442466974258423,0,512x512,6,1,8x8,2,20,512,{}
