算法,随机种子,评估序号,阶段,延迟_ns,能耗_nJ,面积_um2,功耗_W,精度,单次耗时_s,是否帕累托点,交叉阵列尺寸,ADC档位,DAC档位,PE阵列规模,Tile连接方式,片间带宽,片内带宽,附加JSON
random,44,59,random,14334531.433685606,5332664.708218556,2264798006.379884,55.67778673691267,,5.041696071624756,0,256x256,8,4,8x8,2,80,1024,{}
random,44,60,random,3488983.9923325325,996710.2951575099,1615973329.7296705,93.35082393550958,,3.4434449672698975,0,512x512,6,1,2x2,2,80,512,{}
random,44,61,random,3746159.464143049,701340.0627558785,1436309687.105671,93.97288953550958,,3.3005449771881104,0,512x512,4,2,2x2,3,40,512,{}
random,44,62,random,10202323.939110719,1412238.5962376806,1839991168.3804677,100.6683036858168,,3.272871971130371,0,512x512,6,3,4x4,2,40,1024,{}
random,44,63,random,10959628.236759992,1571566.8950965866,1839927254.3964672,99.34554848581679,,3.3381099700927734,0,512x512,6,2,4x4,3,20,512,{}
random,44,64,random,10147843.182079466,1412238.5962376806,1839991168.3804677,100.6683036858168,,3.4106531143188477,0,512x512,6,3,4x4,1,40,512,{}
random,44,65,random,11131336.074448973,1893538.7479055985,1839895297.4044669,98.6841708858168,,3.3188939094543457,0,512x512,6,1,4x4,3,20,1024,{}
random,44,66,random,13756132.060978645,2389702.8504821234,2974016434.4899387,20.267743185109588,,3.462285041809082,0,512x512,8,2,8x8,1,10,512,{}
random,44,67,random,3334652.1004389217,257305.87746011894,1339242007.3616712,16.24337807950959,,2.5789167881011963,0,512x512,8,4,2x2,1,20,1024,{}
random,44,68,random,7789627.634065004,854220.7512186666,1522474966.3964672,14.340070693816806,,3.342452049255371,0,512x512,8,2,4x4,1,40,2048,{}
random,44,69,random,17432451.62757409,4068777.3462641467,3595349848.3779373,139.52886776110958,,3.8939666748046875,0,512x512,6,1,8x8,2,20,512,{}
random,44,70,random,20134423.363368943,8278727.509742103,2831816854.6358833,392.2305599209127,,5.632156848907471,0,256x256,6,2,8x8,0,10,2048,{}
random,44,71,random,10073807.139110724,1412238.5962376806,1634003328.380467,100.6683036858168,,3.8453030586242676,0,512x512,4,3,4x4,2,80,1024,{}
random,44,72,random,9625030.76116788,1346785.8555783585,1618506497.4044669,60.85505088581681,,3.1426680088043213,0,512x512,7,1,4x4,0,20,512,{}
random,44,73,random,13367589.109019397,2392662.5035211826,2973953880.3779387,19.409805585109588,,4.062477111816406,0,512x512,8,1,8x8,0,20,2048,{}
random,44,74,random,9501978.011302603,1445693.030741703,1817307551.3421512,43.626062172652304,,4.6420862674713135,0,256x256,8,2,4x4,1,10,1024,{}
random,44,75,random,9250186.378563838,1155571.9243008406,1618730196.348467,65.48469408581681,,3.214989185333252,0,512x512,7,4,4x4,2,40,2048,{}
random,44,76,random,4578194.625143317,1102740.4859567464,2219654033.1447506,354.1522967938272,,4.2340898513793945,0,256x256,6,4,2x2,0,20,2048,{}
random,44,77,random,3291998.6703303,2225907.0456319433,2219348231.9287505,347.1560711938272,,4.079541921615601,0,256x256,6,1,2x2,3,40,2048,{}
random,44,78,random,6449270.807664318,576817.8884751098,1422846929.729671,57.09866393550959,,3.5391716957092285,0,512x512,7,1,2x2,0,10,1024,{}
random,44,79,random,13704614.688032517,2400734.453594594,2974391759.1619387,25.415368785109585,,4.617879867553711,0,512x512,8,4,8x8,1,10,2048,{}
random,44,80,random,3487167.864402845,996710.2951575099,1615973329.7296705,93.35082393550958,,3.4794907569885254,0,512x512,6,1,2x2,2,80,2048,{}
random,44,81,random,14572292.233685715,5323280.483040955,2264569547.883883,51.27109873691266,,5.357810020446777,0,256x256,8,3,8x8,2,40,1024,{}
random,44,82,random,3499276.2480951715,555163.1256014629,1616056961.8576708,95.21702073550958,,3.33901309967041,0,512x512,6,3,2x2,1,40,1024,{}
random,44,83,random,11259780.517417707,1893538.7479055985,1633907457.4044669,98.6841708858168,,3.2957592010498047,0,512x512,4,1,4x4,2,10,512,{}
random,44,84,random,4112507.892723097,249566.79439907783,1339046865.729671,11.888918879509585,,3.1230762004852295,1,512x512,8,1,2x2,2,10,1024,{}
random,44,85,random,10755735.653462213,1412238.5962376806,1634003328.380467,100.6683036858168,,3.41919207572937,0,512x512,4,3,4x4,1,10,1024,{}
random,44,86,random,6853781.887358603,713792.8179359464,1917010833.14475,216.34749679382722,,4.57793402671814,0,256x256,7,4,2x2,0,10,2048,{}
random,44,87,random,3563554.202587465,401305.936736663,1423042071.361671,61.453123135509585,,3.331866979598999,0,512x512,7,4,2x2,2,20,2048,{}
random,44,88,random,9689910.76834749,3002880.511471623,1976203679.3421512,356.18528463665234,,4.478154897689819,0,256x256,4,2,4x4,0,80,2048,{}
random,44,89,random,9087605.178563884,1145257.7973504406,1618602368.380467,62.8391836858168,,3.2672019004821777,0,512x512,7,3,4x4,0,80,2048,{}
